Id,LotArea,OverallCond,YearBuilt,YearRemodAdd,TotalBsmtSF,GrLivArea,TotRmsAbvGrd,GarageArea,MiscVal,YrSold,SalePrice,Is_above_med
33,11049,5,2007,2007,1234,1234,7,484,0,2008,179900,0
34,10552,5,1959,1959,1398,1700,6,447,0,2010,165500,0
35,7313,5,2005,2005,1561,1561,6,556,0,2007,277500,1
36,13418,5,2004,2005,1117,2452,9,691,0,2006,309000,1
37,10859,5,1994,1995,1097,1097,6,672,0,2009,145000,0
38,8532,6,1954,1990,1297,1297,5,498,0,2009,153000,0
39,7922,7,1953,2007,1057,1057,5,246,0,2010,109000,0
40,6040,5,1955,1955,0,1152,6,0,0,2008,82000,0
41,8658,5,1965,1965,1088,1324,6,440,0,2006,160000,0
42,16905,6,1959,1959,1350,1328,5,308,0,2007,170000,0
43,9180,7,1983,1983,840,884,5,504,0,2007,144000,0
44,9200,6,1975,1980,938,938,5,308,0,2008,130250,0
45,7945,6,1959,1959,1150,1150,6,300,0,2006,141000,0
46,7658,5,2005,2005,1752,1752,6,576,0,2010,319900,1
47,12822,5,2003,2003,1434,2149,6,670,0,2009,239686,0
48,11096,5,2006,2006,1656,1656,7,826,0,2007,249700,1
49,4456,5,1920,2008,736,1452,8,0,0,2009,113000,0
50,7742,7,1966,1966,955,955,6,386,0,2007,127000,0
51,13869,6,1997,1997,794,1470,6,388,0,2007,177000,0
52,6240,6,1934,1950,816,1176,6,528,400,2006,114500,0
53,8472,5,1963,1963,816,816,5,516,0,2010,110000,0
54,50271,5,1981,1987,1842,1842,5,894,0,2006,385000,1
55,7134,5,1955,1955,384,1360,6,572,0,2007,130000,0
56,10175,5,1964,1964,1425,1425,7,576,0,2008,180500,0
57,2645,5,1999,2000,970,1739,7,480,0,2009,172500,0
58,11645,5,2004,2004,860,1720,7,565,0,2006,196500,0
59,13682,5,2006,2006,1410,2945,10,641,0,2006,438780,1
60,7200,7,1972,1972,780,780,4,352,0,2008,124900,0
61,13072,5,2004,2004,1158,1158,5,576,0,2006,158000,0
62,7200,7,1920,1996,530,1111,6,288,0,2007,101000,0
63,6442,5,2006,2006,1370,1370,6,484,0,2007,202500,0
64,10300,6,1921,1950,576,1710,9,480,0,2010,140000,0
65,9375,5,1997,1998,1057,2034,8,645,0,2009,219500,0
66,9591,5,2004,2005,1143,2473,9,852,0,2007,317000,1
67,19900,5,1970,1989,1947,2207,7,576,0,2010,180000,0
68,10665,5,2003,2003,1453,1479,7,558,0,2007,226000,0
69,4608,6,1945,1950,747,747,4,220,0,2010,80000,0
70,15593,4,1953,1953,1304,2287,7,667,0,2006,225000,0
71,13651,6,1973,1973,2223,2223,8,516,0,2007,244000,0
72,7599,6,1982,2006,845,845,4,360,0,2007,129500,0
73,10141,5,1998,1998,832,1718,7,427,0,2009,185000,0
74,10200,7,1954,2003,1086,1086,6,490,0,2010,144900,0
75,5790,6,1915,1950,840,1605,8,379,0,2010,107400,0
76,1596,5,1973,1973,462,988,5,297,0,2009,91000,0
77,8475,7,1956,1956,952,952,4,283,0,2008,135750,0
78,8635,5,1948,2001,672,1285,6,240,0,2008,127000,0
79,10778,5,1968,1968,1768,1768,8,0,0,2010,136500,0
80,10440,6,1910,1981,440,1230,5,440,0,2009,110000,0
81,13000,6,1968,1968,896,2142,8,509,0,2009,193500,0
82,4500,5,1998,1998,1237,1337,5,405,0,2006,153500,0
83,10206,5,2007,2007,1563,1563,6,758,0,2008,245000,0
84,8892,5,1960,1960,1065,1065,6,461,0,2007,126500,0
85,8530,5,1995,1996,384,1474,7,400,700,2009,168500,0
86,16059,5,1991,1992,1288,2417,9,462,0,2006,260000,1
87,11911,5,2005,2005,684,1560,6,400,0,2009,174000,0
88,3951,5,2009,2009,612,1224,4,528,0,2009,164500,0
89,8470,2,1915,1982,1013,1526,6,0,0,2009,85000,0
90,8070,5,1994,1995,990,990,5,0,0,2007,123600,0
91,7200,5,1950,1950,0,1040,4,420,0,2006,109900,0
92,8500,3,1961,1961,1235,1235,6,480,0,2006,98600,0
93,13360,7,1921,2006,876,964,5,432,0,2009,163500,0
94,7200,6,1910,1998,1214,2291,9,506,0,2007,133900,0
95,9337,5,1997,1997,824,1786,7,684,0,2007,204750,0
96,9765,8,1993,1993,680,1470,6,420,480,2009,185000,0
97,10264,5,1999,1999,1588,1588,6,472,0,2006,214000,0
98,10921,5,1965,1965,960,960,6,432,0,2007,94750,0
99,10625,5,1920,1950,458,835,5,366,400,2010,83000,0
100,9320,5,1959,1959,950,1225,6,0,400,2010,128950,0
101,10603,7,1977,2001,1610,1610,6,480,0,2010,205000,0
102,9206,5,1985,1985,741,1732,7,476,0,2010,178000,0
103,7018,5,1979,1979,0,1535,8,410,0,2009,118964,0
104,10402,5,2009,2009,1226,1226,6,740,0,2010,198900,0
105,7758,4,1931,1950,1040,1818,7,240,0,2007,169500,0
106,9375,5,2003,2004,1053,1992,9,648,0,2008,250000,1
107,10800,7,1885,1995,641,1047,6,273,450,2007,100000,0
108,6000,5,1948,1950,789,789,5,250,0,2008,115000,0
109,8500,7,1919,2005,793,1517,7,0,0,2007,115000,0
110,11751,6,1977,1977,1844,1844,7,546,0,2010,190000,0
111,9525,4,1954,1972,994,1855,7,325,0,2006,136900,0
112,7750,5,2000,2000,384,1430,7,400,0,2010,180000,0
113,9965,5,2007,2007,1264,2696,10,792,0,2007,383970,1
114,21000,5,1953,1953,1809,2259,7,450,0,2007,217000,0
115,7259,8,1945,2002,1028,2320,9,180,0,2007,259500,1
116,3230,5,1999,1999,729,1458,5,440,0,2007,176000,0
117,11616,5,1962,1962,1092,1092,6,288,0,2009,139000,0
118,8536,5,2006,2007,1125,1125,5,430,0,2007,155000,0
119,12376,5,1990,1990,1673,3222,11,594,0,2010,320000,1
120,8461,5,2005,2006,728,1456,8,390,0,2006,163990,0
121,21453,5,1969,1969,938,988,4,540,0,2006,180000,0
122,6060,5,1939,1950,732,1123,4,264,0,2007,100000,0
123,9464,7,1958,1958,1080,1080,5,288,0,2008,136000,0
124,7892,5,1993,1993,1199,1199,5,530,0,2008,153900,0
125,17043,5,1979,1998,1362,1586,7,435,0,2009,181000,0
126,6780,8,1935,1982,520,754,5,0,0,2006,84500,0
127,4928,5,1976,1976,1078,958,5,440,0,2007,128000,0
128,4388,7,1930,1950,672,840,5,0,0,2007,87000,0
129,7590,5,1966,1966,660,1348,6,453,0,2006,155000,0
130,8973,7,1958,1991,1008,1053,6,750,0,2006,150000,0
131,14200,6,1966,1966,924,2157,8,487,0,2006,226000,0
132,12224,5,2000,2000,992,2054,7,390,0,2009,244000,0
133,7388,6,1959,2002,1063,1327,7,624,0,2007,150750,0
134,6853,5,2001,2002,1267,1296,6,471,0,2009,220000,0
135,10335,6,1968,1993,1461,1721,7,440,0,2006,180000,0
136,10400,6,1970,1970,1304,1682,7,530,0,2008,174000,0
137,10355,5,1967,1967,1214,1214,5,318,0,2007,143000,0
138,11070,5,1988,1989,1907,1959,9,766,0,2006,171000,0
139,9066,5,1999,2000,1004,1852,7,660,0,2008,230000,0
140,15426,5,1997,1997,928,1764,7,470,0,2009,231500,0
141,10500,5,1971,1971,864,864,5,0,0,2010,115000,0
142,11645,5,2005,2005,1734,1734,7,660,0,2006,260000,1
143,8520,4,1952,1952,910,1385,6,720,0,2010,166000,0
144,10335,5,1999,1999,1490,1501,6,577,0,2009,204000,0
145,9100,5,1963,1963,1728,1728,10,504,0,2006,125000,0
146,2522,5,2004,2006,970,1709,7,380,0,2006,130000,0
147,6120,7,1931,1993,715,875,5,180,0,2009,105000,0
148,9505,5,2001,2001,884,2035,8,434,0,2010,222500,0
149,7500,5,2004,2005,1080,1080,6,0,0,2008,141000,0
150,6240,4,1936,1950,896,1344,7,240,0,2006,115000,0
151,10356,6,1975,1975,969,969,5,440,0,2007,122000,0
152,13891,5,2007,2008,1710,1710,6,866,0,2008,372402,1
153,14803,5,1971,1971,825,1993,8,495,0,2006,190000,0
154,13500,7,1960,1975,1602,1252,4,564,0,2008,235000,0
155,11340,5,1923,1950,1200,1200,7,312,0,2006,125000,0
156,9600,5,1924,1950,572,1096,5,0,0,2008,79000,0
157,7200,7,1950,1950,0,1040,5,625,0,2006,109500,0
158,12003,5,2009,2010,774,1968,8,680,0,2010,269500,1
159,12552,5,2004,2005,991,1947,8,678,0,2010,254900,1
160,19378,5,2005,2006,1392,2462,9,576,0,2006,320000,1
161,11120,6,1984,1984,1232,1232,6,516,0,2008,162500,0
162,13688,5,2003,2004,1572,2668,10,726,0,2008,412500,1
163,12182,5,2005,2005,1541,1541,7,532,0,2010,220000,0
164,5500,6,1956,1956,882,882,4,0,0,2007,103200,0
165,5400,7,1926,2004,1149,1616,5,216,0,2007,152000,0
166,10106,7,1940,1999,644,1355,6,0,0,2008,127500,0
167,10708,5,1955,1993,1617,1867,7,303,0,2009,190000,0
168,10562,5,2007,2007,1582,2161,8,789,0,2007,325624,1
169,8244,5,2004,2004,840,1720,7,440,0,2007,183500,0
170,16669,6,1981,1981,1686,1707,6,511,0,2006,228000,0
171,12358,6,1941,1950,720,1382,7,660,0,2007,128500,0
172,31770,5,1960,1960,1080,1656,7,528,0,2010,215000,0
173,5306,7,1987,1987,1064,1767,5,504,0,2006,239000,0
174,10197,5,1961,1961,1362,1362,6,504,0,2008,163000,0
175,12416,5,1986,1986,1606,1651,7,616,0,2008,184000,0
176,12615,7,1950,2001,1202,2158,7,576,0,2007,243000,0
177,10029,5,1988,1989,1151,2060,8,521,0,2007,211000,0
178,13650,5,1958,1958,1052,1920,8,451,0,2006,172500,0
179,17423,5,2008,2009,2216,2234,9,1166,0,2009,501837,1
180,8520,6,1923,2006,968,968,5,480,0,2007,100000,0
181,2117,5,2000,2000,756,1525,5,440,0,2007,177000,0
182,7588,6,1920,1950,793,1802,9,216,0,2006,200100,0
183,9060,6,1957,2006,0,1340,7,252,0,2007,120000,0
184,11426,5,2003,2003,1362,2082,6,484,0,2008,200000,0
185,7438,8,1908,1991,504,1252,5,576,0,2006,127000,0
186,22950,9,1892,1993,1107,3608,12,840,0,2006,475000,1
187,9947,5,1990,1991,1188,1217,6,497,0,2009,173000,0
188,10410,7,1916,1987,660,1656,8,180,0,2009,135000,0
189,7018,5,1979,1979,1086,1224,6,528,0,2009,153337,0
190,4923,5,2001,2002,1593,1593,5,682,0,2008,286000,1
191,10570,8,1932,1994,853,2727,10,440,0,2007,315000,1
192,7472,9,1972,2004,725,1479,7,484,0,2007,184000,0
193,9017,5,1999,1999,1431,1431,6,666,0,2009,192000,0
194,2522,5,2004,2004,970,1709,7,380,0,2006,130000,0
195,7180,7,1972,1972,864,864,5,352,0,2008,127000,0
196,2280,6,1976,1976,855,1456,7,440,0,2009,148500,0
197,9416,5,2007,2007,1726,1726,8,786,0,2007,311872,1
198,25419,4,1918,1990,1360,3112,8,795,0,2006,235000,0
199,5520,6,1912,1950,755,2229,8,0,0,2009,104000,0
200,9591,5,2004,2005,1713,1713,7,856,0,2009,274900,1
201,8546,5,2003,2004,1121,1121,5,440,0,2010,140000,0
202,10125,6,1977,1977,1196,1279,6,473,0,2008,171500,0
203,7000,6,1924,1950,617,1310,6,398,0,2006,112000,0
204,4438,5,2004,2004,848,848,3,420,0,2008,149000,0
205,3500,7,1947,1950,720,1284,5,240,0,2009,110000,0
206,11851,5,1990,1990,1424,1442,5,500,0,2009,180500,0
207,13673,5,1962,1962,1140,1696,8,349,0,2007,143900,0
208,12493,5,1960,1960,1100,1100,6,312,0,2008,141000,0
209,14364,5,1988,1989,1157,2062,7,454,0,2007,277000,1
210,8250,7,1964,1964,1092,1092,6,504,0,2008,145000,0
211,5604,6,1925,1950,864,864,5,0,0,2008,98000,0
212,10420,5,2009,2009,1212,1212,6,460,0,2010,186000,0
213,8640,5,2009,2009,900,1852,7,644,0,2009,252678,1
214,13568,5,1995,1995,990,990,5,576,0,2006,156000,0
215,10900,7,1977,1977,689,1392,6,299,450,2010,161750,0
216,10011,6,1957,1996,1070,1236,6,447,0,2006,134450,0
217,8450,5,2004,2004,1436,1436,8,484,0,2008,210000,0
218,9906,4,1925,1950,686,1328,8,210,0,2006,107000,0
219,15660,9,1939,2006,798,1954,8,431,0,2008,311500,1
220,3010,5,2005,2006,1248,1248,5,438,0,2006,167240,0
221,8990,5,2006,2006,1498,1498,5,675,0,2006,204900,0
222,8068,5,2002,2002,1010,2267,8,390,0,2009,200000,0
223,11475,6,1975,1975,713,1552,6,434,0,2006,179900,0
224,10500,6,1971,1971,864,864,4,576,0,2009,97000,0
225,13472,5,2003,2003,2392,2392,8,968,0,2009,386250,1
226,1680,5,1971,1971,630,1302,6,280,0,2009,112000,0
227,9950,5,1995,1995,1203,2520,9,721,0,2007,290000,1
228,1869,6,1970,1970,483,987,5,280,0,2008,106000,0
229,8521,5,1967,1967,912,912,5,336,0,2010,125000,0
230,3182,5,2005,2006,1373,1555,7,430,0,2009,192500,0
231,8760,6,1959,1959,1194,1194,6,312,0,2010,148000,0
232,15138,5,1995,1996,1462,2794,9,810,0,2009,403000,1
233,1680,5,1972,1972,483,987,5,288,0,2006,94500,0
234,10650,6,1976,1976,894,894,5,308,0,2010,128200,0
235,7851,5,2002,2002,860,1960,8,440,0,2010,216500,0
236,1680,3,1971,1971,483,987,5,264,0,2008,89500,0
237,8773,5,2004,2004,1414,1414,6,494,0,2010,185500,0
238,9453,7,1993,2003,996,1744,7,457,0,2010,194500,0
239,12030,5,2007,2007,1694,1694,7,818,0,2007,318000,1
240,8741,4,1945,1950,735,1487,7,220,0,2010,113000,0
241,9000,5,2008,2008,1566,1566,7,750,0,2010,262500,1
242,3880,9,1945,1997,686,866,4,0,0,2007,110500,0
243,5000,4,1900,1950,540,1440,6,352,0,2006,79000,0
244,10762,6,1980,1980,626,1217,6,288,0,2009,120000,0
245,8880,5,1994,2002,948,2110,8,463,0,2010,205000,0
246,10400,5,1988,1988,1845,1872,6,604,0,2006,241500,0
247,9142,8,1910,1950,1020,1928,9,440,0,2006,137000,0
248,11310,5,1954,1954,1367,1375,5,451,0,2006,140000,0
249,11317,5,2003,2003,840,1668,8,500,0,2007,180000,0
250,159000,7,1958,2006,1444,2144,7,389,500,2007,277000,1
251,5350,2,1940,1966,728,1306,6,0,450,2010,76500,0
252,4750,5,2006,2007,1573,1625,5,538,0,2007,235000,0
253,8366,5,2004,2004,798,1640,6,520,0,2008,173000,0
254,9350,7,1964,1991,1302,1302,7,309,0,2007,158000,0
255,8400,6,1957,1957,1314,1314,5,294,0,2010,145000,0
256,8738,5,1999,1999,975,2291,8,429,0,2006,230000,0
257,8791,5,2003,2003,864,1728,7,673,0,2008,207500,0
258,8814,5,2006,2006,1604,1604,8,660,0,2009,220000,0
259,12435,5,2001,2001,963,1792,7,564,0,2008,231500,0
260,12702,5,1956,1956,0,882,4,308,0,2008,97000,0
261,19296,5,1962,1962,1362,1382,6,884,0,2009,176000,0
262,9588,5,2007,2007,1482,2574,10,868,0,2007,276000,1
263,8471,7,1977,1995,506,1212,6,492,0,2006,151000,0
264,5500,7,1929,2001,926,1316,6,484,0,2010,130000,0
265,5232,5,1925,2004,680,764,4,504,0,2008,73000,0
266,12090,6,1981,1981,1422,1422,7,576,0,2008,175500,0
267,11207,5,1997,1997,802,1511,8,413,0,2006,185000,0
268,8400,8,1939,1997,720,2192,8,240,0,2008,179500,0
269,6900,6,1940,1955,740,778,4,924,0,2008,120500,0
270,7917,7,1976,1976,1143,1113,6,504,0,2007,148000,0
271,10728,5,2006,2006,1095,1939,8,1053,0,2006,266000,1
272,39104,7,1954,2005,1385,1363,5,439,0,2008,241500,0
273,11764,7,1999,2007,1152,2270,9,671,0,2010,290000,1
274,9600,6,1958,1988,1240,1632,6,338,0,2009,139000,0
275,8314,7,1982,1982,816,816,5,264,0,2007,124500,0
276,7264,7,1925,2007,952,1548,5,672,0,2009,205000,0
277,9196,5,2003,2003,1560,1560,7,573,0,2010,201000,0
278,19138,5,1951,1951,864,864,4,400,0,2010,141000,0
279,14450,5,2006,2007,2121,2121,8,732,0,2007,415298,1
280,10005,5,1977,1977,1160,2022,8,505,0,2008,192000,0
281,11287,6,1989,1989,807,1982,7,575,0,2007,228500,0
282,7200,5,2006,2006,1262,1262,5,572,0,2006,185000,0
283,5063,5,2007,2008,1314,1314,6,626,0,2009,207500,0
284,9612,5,2008,2009,1468,1468,6,898,0,2009,244600,0
285,8012,5,1992,1992,1575,1575,5,529,0,2007,179200,0
286,4251,5,2006,2007,625,1250,5,528,0,2007,164700,0
287,9786,7,1962,1981,912,1734,7,440,0,2006,159000,0
288,8125,4,1971,1971,858,858,5,0,0,2006,88000,0
289,9819,5,1967,1967,882,900,5,280,0,2010,122000,0
290,8730,7,1915,2003,698,1396,7,384,0,2007,153575,0
291,15611,5,2006,2006,1079,1919,8,685,0,2006,233230,0
292,5687,6,1912,2000,780,1716,9,0,0,2008,135900,0
293,11409,4,1949,2008,768,1716,8,281,0,2009,131000,0
294,16659,7,1977,1994,795,2263,9,539,0,2006,235000,0
295,9600,5,1953,1953,1416,1644,7,418,0,2009,167000,0
296,7937,6,1984,1984,1003,1003,6,588,0,2006,142500,0
297,13710,5,1950,1950,910,1558,6,282,0,2007,152000,0
298,7399,5,1997,1998,975,1950,7,576,0,2007,239000,0
299,11700,6,1968,1968,702,1743,7,539,0,2007,175000,0
300,14000,8,1950,2004,1092,1152,6,300,0,2009,158500,0
301,15750,5,1953,1953,1165,1336,5,375,0,2006,157000,0
302,16226,5,1998,1999,1028,2452,9,683,0,2007,267000,1
303,13704,5,2001,2002,1541,1541,6,843,0,2006,205000,0
304,9800,7,1972,1972,894,894,5,552,0,2006,149900,0
305,18386,9,1880,2002,1470,3493,10,870,0,2008,295000,1
306,10386,5,2004,2005,2000,2000,8,888,0,2007,305900,1
307,13474,5,1990,1991,700,2243,8,746,0,2007,225000,0
308,7920,7,1920,1950,319,1406,6,0,0,2008,89500,0
309,12342,5,1940,1950,861,861,4,539,0,2009,82500,0
310,12378,5,2003,2004,1896,1944,8,708,0,2006,360000,1
311,7685,5,1993,1994,697,1501,6,420,0,2006,165600,0
312,8000,6,1948,2002,972,972,5,240,0,2009,132000,0
313,7800,7,1939,1950,793,1118,5,410,0,2006,119900,0
314,215245,5,1965,1965,2136,2036,8,513,0,2009,375000,1
315,9600,7,1925,1990,728,1641,6,546,0,2006,178000,0
316,7795,5,2004,2005,716,1432,6,432,0,2009,188500,0
317,13005,7,1980,1980,845,2353,10,484,0,2009,260000,1
318,9000,5,2006,2006,1088,1959,8,1025,0,2007,270000,1
319,9900,5,1993,1993,1347,2646,9,656,0,2009,260000,1
320,14115,5,1980,1980,1372,1472,6,588,0,2009,187500,0
321,16259,5,2006,2006,1249,2596,9,840,0,2006,342643,1
322,12099,5,2004,2004,1136,2468,10,872,0,2007,354000,1
323,10380,5,1986,1987,1502,2730,8,576,0,2007,301000,1
324,5820,8,1955,2005,1162,1163,6,220,0,2006,126175,0
325,11275,7,1967,2007,710,2978,11,564,0,2010,242000,0
326,5000,6,1941,1950,720,803,5,360,0,2007,87000,0
327,10846,5,1993,1993,1719,1719,6,473,0,2008,324000,1
328,11600,5,1960,1960,1383,1383,7,292,0,2006,145250,0
329,11888,6,1916,1994,844,2134,10,441,0,2009,214500,0
330,6402,5,1920,1950,596,1192,6,189,0,2009,78000,0
331,10624,4,1964,1964,1728,1728,10,352,0,2007,119000,0
332,8176,6,1958,1992,1056,1056,6,308,0,2007,139000,0
333,10655,5,2003,2004,3206,1629,7,880,0,2009,284000,1
334,8198,5,2004,2004,1358,1358,6,484,0,2008,207000,0
335,9042,5,1998,1998,943,1638,7,472,0,2008,192000,0
336,164660,6,1965,1965,1499,1786,7,529,700,2008,228950,0
337,14157,5,2005,2006,1922,1922,8,676,0,2007,377426,1
338,9135,5,2002,2003,1536,1536,7,532,0,2008,214000,0
339,14145,7,1984,1998,1208,1621,8,440,400,2006,202500,0
340,12400,7,1958,1998,1215,1215,6,297,0,2009,155000,0
341,14191,5,2002,2002,967,1908,9,431,0,2010,202900,0
342,8400,4,1950,1950,721,841,4,294,0,2009,82000,0
343,8544,4,1949,1950,0,1040,6,400,0,2006,87500,0
344,8849,5,2005,2005,1684,1684,6,564,0,2008,266000,1
345,2592,3,1976,1976,536,1112,4,336,0,2010,85000,0
346,6435,5,1939,1950,972,1577,6,312,0,2006,140200,0
347,12772,8,1960,1998,958,958,5,301,15500,2007,151500,0
348,17600,5,1960,1960,1478,1478,6,498,0,2009,157500,0
349,2448,5,2003,2004,764,1626,6,474,0,2008,154000,0
350,20431,5,2005,2006,1848,2728,10,706,0,2006,437154,1
351,7820,5,2007,2007,1869,1869,6,617,0,2007,318061,1
352,5271,5,1986,1986,1453,1453,6,445,0,2006,190000,0
353,9084,6,1941,1950,616,1111,5,200,0,2008,95000,0
354,8520,8,1928,2003,624,720,5,484,0,2010,105900,0
355,8400,5,1940,2000,940,1595,6,240,0,2006,140000,0
356,11249,5,1995,1995,1200,1200,6,521,0,2007,177500,0
357,9248,6,1992,1992,1158,1167,6,400,0,2009,173000,0
358,4224,5,1976,1976,1142,1142,6,528,0,2007,134000,0
359,6930,4,1958,1958,1062,1352,6,288,0,2006,130000,0
360,12011,5,1998,1998,1086,1924,7,592,0,2006,280000,1
361,7540,6,1978,1978,888,912,5,470,0,2007,156000,0
362,9144,5,1940,1982,883,1505,8,240,0,2008,145000,0
363,7301,5,2003,2003,0,1922,7,672,0,2009,198500,0
364,1680,8,1972,2007,483,987,5,264,0,2009,118000,0
365,18800,5,1976,1976,796,1574,6,566,0,2006,190000,0
366,10690,7,1920,1997,672,1344,6,468,0,2009,147000,0
367,9500,5,1963,1963,1394,1394,6,514,0,2009,159000,0
368,9150,5,1962,1962,1099,1431,6,296,0,2008,165000,0
369,7800,6,1954,1954,1268,1268,7,244,0,2010,132000,0
370,9830,7,1959,2006,1063,1287,7,576,0,2010,162000,0
371,8121,5,2000,2000,953,1664,7,460,0,2006,172400,0
372,17120,4,1959,1959,0,1588,7,680,0,2008,134432,0
373,7175,5,1984,1984,744,752,4,264,0,2010,125000,0
374,10634,6,1953,1953,608,1319,5,270,0,2009,123000,0
375,8200,5,2003,2004,847,1928,8,434,0,2007,219500,0
376,10020,1,1922,1950,683,904,4,0,0,2009,61000,0
377,8846,5,1996,1996,870,914,5,576,0,2006,148000,0
378,11143,5,2004,2005,1580,2466,8,610,0,2007,340000,1
379,11394,2,2010,2010,1856,1856,8,834,0,2010,394432,1
380,8123,5,2000,2000,982,1800,7,463,0,2009,179000,0
381,5000,6,1924,1950,1026,1691,6,308,0,2010,127000,0
382,7200,5,2006,2006,1293,1301,5,572,0,2006,187750,0
383,9245,5,2006,2006,939,1797,8,639,0,2007,213500,0
384,9000,3,1928,1950,784,784,5,360,0,2009,76000,0
385,53107,5,1992,1992,1580,1953,9,501,0,2007,240000,0
386,3182,5,2004,2005,1256,1269,6,430,0,2010,192000,0
387,8410,3,1910,1996,658,1184,8,0,0,2006,81000,0
388,7200,6,1976,1976,1041,1125,6,352,0,2009,125000,0
389,9382,5,1999,2000,1468,1479,6,577,0,2008,191000,0
390,12474,5,2007,2008,1682,2332,9,846,0,2008,426000,1
391,8405,8,1900,1950,861,1367,7,384,0,2008,119000,0
392,12209,5,2001,2002,804,1961,7,560,0,2009,215000,0
393,8339,7,1959,1959,0,882,5,294,1200,2007,106500,0
394,7446,5,1941,1950,788,788,4,0,0,2006,100000,0
395,10134,6,1940,1950,735,1034,5,240,0,2007,109000,0
396,9571,6,1956,1956,1144,1144,6,596,0,2010,129000,0
397,7200,5,1972,1972,894,894,6,600,0,2009,123000,0
398,7590,5,1962,1962,864,1812,8,264,0,2007,169500,0
399,8967,2,1920,1950,961,1077,6,338,0,2007,67000,0
400,8125,5,2006,2007,1092,1550,7,438,0,2009,241000,0
401,14963,5,1996,1996,1260,1288,4,500,0,2008,245500,0
402,8767,5,2005,2005,1310,1310,6,400,0,2006,164990,0
403,10200,8,1940,1997,672,672,4,240,0,2008,108000,0
404,12090,5,1998,1998,1141,2263,10,420,0,2006,258000,1
405,10364,5,1995,1996,806,1572,7,373,0,2007,168000,0
406,9991,4,1976,1993,1281,1620,8,490,0,2009,150000,0
407,10480,5,1936,1950,1064,1639,6,240,0,2008,115000,0
408,15576,7,1915,1976,840,1680,8,308,0,2008,177000,0
409,14154,5,2006,2006,1063,2172,9,947,0,2007,280000,1
410,10800,5,2007,2008,1034,2078,8,836,0,2008,339750,1
411,9571,3,1958,1958,1276,1276,5,350,0,2009,60000,0
412,34650,5,1955,1955,1056,1056,5,572,0,2006,145000,0
413,4403,5,2009,2009,1470,1478,7,484,0,2010,222000,0
414,8960,6,1927,1950,1008,1028,5,360,0,2010,115000,0
415,11228,5,1993,1993,1080,2097,9,678,0,2008,228000,0
416,8899,5,2007,2007,1340,1340,6,396,0,2007,181134,0
417,7844,7,1978,1978,672,1400,6,440,0,2006,149500,0
418,22420,6,1918,1950,1370,2624,10,864,0,2007,239000,0
419,8160,6,1940,1950,756,1134,7,240,0,2007,126000,0
420,8450,6,1968,1968,1056,1056,6,304,0,2010,142000,0
421,7060,5,1997,1998,1344,1344,8,784,0,2008,206300,0
422,16635,7,1977,2000,1602,1602,8,529,0,2009,215000,0
423,21750,5,1954,1954,988,988,4,520,0,2008,113000,0
424,9200,5,1998,1998,1470,2630,8,696,0,2008,315000,1
425,9000,5,1956,1956,1196,1196,6,297,0,2008,139000,0
426,3378,8,1946,1992,651,1389,6,240,0,2009,135000,0
